,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Felipe Mora,9,cl CHI,FW,31-082,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Jonathan Rodríguez,14,uy URU,LW,31-109,82,0,0,0,0,1,0,2,0,2,0,0,0,0,2,2,50.0
Finn Surman,20,nz NZL,LW,21-030,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antony,11,br BRA,RW,LB,23-045,63,0,0,0,0,0,0,1,1,0,0,0,0,3,0,2,0.0
Eric Miller,15,us USA,RB,31-282,27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Evander,10,br BRA,AM,26-136,90,1,0,0,2,2,0,7,0,0,0,0,0,4,0,1,0.0
David Ayala,24,ar ARG,DM,22-089,90,0,0,0,0,0,0,0,5,3,0,0,0,8,1,2,33.3
Diego Chará,21,co COL,DM,38-201,45,1,0,0,3,1,0,0,2,0,0,0,0,3,0,0,
Eryk Williamson,19,us USA,DM,27-134,45,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,
Claudio Bravo,5,ar ARG,LB,27-224,45,0,0,0,0,0,0,1,1,2,0,0,0,5,1,1,50.0
Santiago Moreno,30,co COL,RW,24-185,45,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,
Dario Župarić,13,ba BIH,CB,32-173,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Kamal Miller,4,ca CAN,CB,27-160,45,1,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0.0
Miguel Araujo,2,pe PER,CB,29-365,90,0,0,0,1,2,0,0,0,0,0,0,0,7,1,2,33.3
Juan David Mosquera,29,co COL,RB,LB,22-048,90,0,0,0,0,1,0,6,0,2,0,0,0,8,0,3,0.0
James Pantemis,41,ca CAN,GK,27-245,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16 Players,,,,,990,3,0,0,7,12,0,20,12,10,0,0,0,50,5,15,25.0
