,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-263,63,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,50.0
Levonte Johnson,28,ca CAN,FW,AM,25-222,27,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0
Ryan Gauld,25,sct SCO,AM,28-312,62,0,0,0,1,2,1,6,3,2,0,0,0,10,0,1,0.0
Ryan Raposo,7,ca CAN,AM,25-232,28,1,0,0,2,0,1,2,1,1,0,0,0,1,0,0,
Fafà Picault,11,ht HAI,AM,33-243,75,0,0,0,1,0,0,4,0,0,0,0,0,4,2,1,66.7
Damir Kreilach,19,hr CRO,FW,AM,35-190,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Stuart Armstrong,26,sct SCO,LM,32-207,63,0,0,0,1,1,0,1,0,2,0,0,0,6,0,0,
Alessandro Schöpf,8,at AUT,LM,30-259,27,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Andrés Cubas,20,py PAR,CM,28-154,82,0,0,0,2,0,0,0,1,3,0,0,0,8,0,0,
Sebastian Berhalter,16,us USA,CM,23-159,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Pedro Vite,45,ec ECU,RM,22-228,90,0,0,0,0,1,1,0,1,1,0,0,0,7,1,0,100.0
Sam Adekugbe,3,ca CAN,LB,29-281,90,0,0,0,1,1,2,3,0,1,0,0,0,2,3,0,100.0
Tristan Blackmon,6,us USA,CB,28-072,90,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,100.0
Ranko Veselinović,4,rs SRB,CB,25-213,90,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,100.0
Mathías Laborda,2,uy URU,RB,25-038,90,0,0,0,1,0,1,1,3,1,0,0,0,2,3,1,75.0
Yohei Takaoka,1,jp JPN,GK,28-221,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16 Players,,,,,990,2,0,0,13,5,6,18,14,12,0,0,0,51,15,5,75.0
