,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Anderson Julio,29,ec ECU,FW,27-297,83,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,50.0
Maikel Chang,16,cu CUB,FW,32-340,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Fidel Barajas,17,mx MEX,LW,17-353,89,0,0,0,1,0,0,4,0,1,0,0,0,1,0,1,0.0
Nelson Palacio,13,co COL,LW,22-281,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Bode Davis,19,us USA,RW,22-030,85,0,0,0,0,1,0,4,0,0,0,0,0,7,1,0,100.0
Matt Crooks,25,eng ENG,RW,30-063,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Cristian Arango,9,co COL,AM,29-014,90,0,0,0,1,1,0,6,0,0,0,0,0,2,0,3,0.0
Emeka Eneli,14,us USA,DM,24-157,90,0,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0.0
Braian Ojeda,6,py PAR,DM,23-270,90,0,0,0,2,1,0,0,0,1,0,0,0,6,1,0,100.0
Alexandros Katranis,98,gr GRE,LB,25-324,84,1,0,0,3,1,1,6,2,0,0,0,0,7,0,2,0.0
Bryan Oviedo,3,cr CRC,LB,34-034,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Brayan Vera,4,co COL,CB,25-068,90,1,0,0,3,1,0,3,1,1,0,0,0,3,0,0,
Justen Glad,15,us USA,CB,27-024,89,0,0,0,0,1,0,0,3,0,0,0,0,7,3,3,50.0
Marcelo Silva,30,uy URU,CB,35-002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Andrew Brody,2,us USA,RB,28-325,90,0,0,0,0,0,0,5,0,0,0,0,0,7,1,1,50.0
Zac MacMath,18,us USA,GK,32-229,90,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0
16 Players,,,,,990,3,0,0,10,7,3,28,8,4,0,0,0,56,8,14,36.4
