,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Damir Kreilach,19,hr CRO,FW,34-342,73,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,50.0
Levonte Johnson,28,ca CAN,FW,25-008,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
Ryan Gauld,25,sct SCO,AM,28-098,90,0,0,0,0,3,0,1,0,2,0,0,0,3,0,0,
Brian White,24,us USA,AM,28-049,55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0.0
Ali Ahmed,22,ca CAN,AM,23-165,35,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,
Pedro Vite,45,ec ECU,CM,22-014,90,0,0,0,3,1,0,0,2,1,0,0,0,6,0,0,
Alessandro Schöpf,8,at AUT,CM,30-045,65,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0
Sebastian Berhalter,16,us USA,CM,22-311,25,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,
Ryan Raposo,7,ca CAN,WB,25-018,85,0,0,0,1,0,0,1,0,0,0,0,0,6,1,1,50.0
Bjørn Inge Utvik,15,no NOR,CB,28-024,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Javain Brown,23,jm JAM,WB,25-014,65,0,0,0,1,2,0,2,1,1,0,0,0,5,2,0,100.0
Luís Martins,14,pt POR,WB,31-287,25,0,0,0,1,0,0,1,0,2,0,0,0,3,0,0,
Tristan Blackmon,6,us USA,CB,27-224,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
Ranko Veselinović,4,rs SRB,CB,24-365,90,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,100.0
Mathías Laborda,2,uy URU,CB,WB,24-190,90,0,0,0,0,1,0,1,2,1,0,0,0,7,3,2,60.0
Yohei Takaoka,1,jp JPN,GK,28-007,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,0,0,0,8,10,1,8,9,9,0,0,0,45,14,8,63.6
