,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Preston Judd,19,us USA,FW,25-109,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ousseni Bouda,17,bf BFA,FW,24-139,45,0,0,0,2,1,1,0,0,0,0,0,0,1,1,1,50.0
Cristian Espinoza,10,ar ARG,LW,RW,AM,29-164,90,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,
Hernán López Muñoz,23,ar ARG,RW,LW,24-007,90,0,0,0,1,2,0,2,1,0,0,0,0,2,0,0,
Paul Marie,3,fr FRA,LM,RM,29-174,72,0,0,0,0,0,0,1,1,1,0,0,0,4,1,0,100.0
Amahl Pellegrino,9,no NOR,LW,34-088,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jackson Yueill,14,us USA,CM,DM,27-179,85,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0.0
Jack Skahan,16,us USA,DM,26-220,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Niko Tsakiris,30,us USA,CM,19-087,54,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,
Alfredo Morales,6,us USA,DM,CM,34-125,36,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,
Benjamin Kikanovic,28,us USA,RM,24-252,45,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,100.0
Vitor Costa,94,br BRA,LM,LB,30-075,45,0,0,0,0,1,0,2,1,1,0,0,0,1,1,2,33.3
Tanner Beason,15,us USA,CB,27-175,90,0,0,0,0,0,0,0,1,1,0,0,0,3,2,1,66.7
Rodrigues,26,br BRA,CB,26-340,90,0,0,0,0,2,0,0,2,1,0,0,0,7,2,1,66.7
Carlos Akapo,29,gq EQG,CB,RB,31-186,90,1,0,0,1,2,0,0,1,0,0,0,0,4,4,0,100.0
Daniel,42,br BRA,GK,30-131,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,2,0,0,8,8,1,15,8,4,0,0,0,44,12,7,63.2
