,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ryan Gauld,25,sct SCO,FW,28-273,90,0,0,0,1,1,0,12,0,1,0,0,0,3,0,1,0.0
Fafà Picault,11,ht HAI,FW,33-204,83,0,0,0,0,1,0,1,0,1,0,0,0,4,0,4,0.0
Levonte Johnson,28,ca CAN,FW,25-183,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Alessandro Schöpf,8,at AUT,CM,30-220,83,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,
Stuart Armstrong,26,sct SCO,CM,32-168,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Ralph Priso-Mbongue,13,ca CAN,CM,22-043,55,1,0,0,2,1,0,0,1,0,0,0,0,3,0,0,
Sebastian Berhalter,16,us USA,CM,23-120,35,0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,100.0
Pedro Vite,45,ec ECU,CM,22-189,90,0,0,0,1,1,0,0,0,3,0,0,0,14,0,1,0.0
Sam Adekugbe,3,ca CAN,WB,29-242,65,0,0,0,1,0,0,2,0,0,0,0,0,3,0,1,0.0
Mathías Laborda,2,uy URU,WB,24-365,25,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,100.0
Ali Ahmed,22,ca CAN,WB,23-340,65,0,0,0,0,0,1,4,1,0,0,0,0,2,0,0,
Édier Ocampo,18,co COL,WB,20-347,25,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,100.0
Tristan Blackmon,6,us USA,CB,28-033,90,0,0,0,0,0,1,0,2,2,0,0,0,3,1,0,100.0
Ranko Veselinović,4,rs SRB,CB,25-174,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Bjørn Inge Utvik,15,no NOR,CB,28-199,90,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,25.0
Yohei Takaoka,1,jp JPN,GK,28-182,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,1,0,0,8,6,2,28,5,8,0,0,0,48,7,12,36.8
