,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jordan Morris,13,us USA,FW,29-342,75,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,80.0
Daniel Musovski,17,us USA,FW,28-307,15,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
Paul Rothrock,14,us USA,LW,25-267,73,0,0,0,1,4,1,4,0,0,1,0,0,2,0,1,0.0
Reed Baker-Whiting,21,us USA,LW,19-185,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Georgi Minoungou,93,ci CIV,RW,22-069,75,0,0,0,0,1,0,3,0,0,0,0,0,8,0,1,0.0
Pedro De la Vega,10,ar ARG,RW,23-238,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Albert Rusnák,11,sk SVK,AM,30-087,90,0,0,0,0,2,1,6,1,0,0,0,0,3,1,1,50.0
Cristian Roldan,7,us USA,DM,29-121,73,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,
Joshua Atencio,8,us USA,DM,22-245,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Obed Vargas,18,mx MEX,DM,19-058,90,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,
Nouhou Tolo,5,cm CMR,LB,27-101,86,0,0,0,1,0,0,2,1,2,0,0,0,4,0,0,
Jon Bell,15,jm JAM,LB,27-037,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jackson Ragen,25,us USA,CB,26-008,90,0,0,0,3,0,0,0,0,2,0,0,0,1,3,0,100.0
Yeimar Gómez Andrade,28,co COL,CB,32-094,90,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,100.0
Alex Roldan,16,sv SLV,RB,28-066,90,0,0,0,1,1,0,1,3,0,0,0,0,3,1,1,50.0
Stefan Frei,24,ch SUI,GK,38-165,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,990,0,0,0,7,12,2,16,6,6,1,0,0,38,10,6,62.5
