,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-242,76,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
Deiber Caicedo,23,co COL,FW,24-191,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Fafà Picault,11,ht HAI,FW,33-222,87,2,1,1,2,2,1,5,0,0,0,0,0,0,0,0,
Sam Adekugbe,3,ca CAN,LW,29-260,90,1,0,0,1,0,0,5,1,0,0,0,0,5,2,1,66.7
Sebastian Berhalter,16,us USA,RW,23-138,90,0,0,0,2,0,0,11,2,3,0,0,0,4,1,0,100.0
Alessandro Schöpf,8,at AUT,CM,30-238,58,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,
Levonte Johnson,28,ca CAN,CM,25-201,32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0.0
Pedro Vite,45,ec ECU,CM,22-207,90,0,0,0,1,0,0,4,0,1,0,0,0,6,0,0,
Andrés Cubas,20,py PAR,DM,28-133,70,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0.0
Ralph Priso-Mbongue,13,ca CAN,DM,22-061,20,1,0,0,1,0,0,0,2,1,0,0,0,1,0,0,
Mathías Laborda,2,uy URU,CB,25-017,70,0,0,0,1,1,1,2,2,1,0,0,0,2,1,1,50.0
Édier Ocampo,18,co COL,CB,20-365,20,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,
Tristan Blackmon,6,us USA,CB,28-051,70,0,0,0,0,1,0,0,1,1,0,0,0,3,1,1,50.0
Bjørn Inge Utvik,15,no NOR,CB,28-217,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ranko Veselinović,4,rs SRB,CB,25-192,90,0,0,0,1,0,0,0,1,1,0,1,0,3,1,2,33.3
Yohei Takaoka,1,jp JPN,GK,28-200,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16 Players,,,,,987,5,1,1,12,7,2,29,10,10,0,1,0,35,6,10,37.5
