,SCA 1,SCA 2
,SCA 1,SCA 2
Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
12,Robert Castellanos,Sporting KC,0.07,0.05,Saved,6,Head,,Dániel Sallói,Pass (Dead),Alan Pulido,Pass (Live)
39,Alenis Vargas,Sporting KC,0.04,0.04,Saved,27,Right Foot,,Nemanja Radoja,Pass (Live),Rémi Walter,Pass (Live)
,,,,,,,,,,,,
56,Erik Thommy,Sporting KC,0.04,0.28,Saved,18,Right Foot,,Rémi Walter,Pass (Live),Robert Castellanos,Pass (Live)
58,Dániel Sallói,Sporting KC,0.08,,Blocked,22,Right Foot,,Erik Thommy,Pass (Live),Dániel Sallói,Pass (Live)
63,Stephen Afrifa,Sporting KC,0.07,,Woodwork,14,Left Foot,,Stephen Afrifa,Take-On,Erik Thommy,Pass (Live)
63,Dániel Sallói,Sporting KC,0.06,0.23,Saved,17,Right Foot,,Stephen Afrifa,Shot,,
64,William Agada,Sporting KC,0.03,,Off Target,21,Left Foot,,Dániel Sallói,Pass (Live),Zorhan Bassong,Pass (Live)
66,Dániel Sallói,Sporting KC,0.04,,Blocked,16,Right Foot,,Erik Thommy,Pass (Dead),Dániel Sallói,Pass (Live)
69,Dániel Sallói,Sporting KC,0.02,0.11,Saved,16,Right Foot,,Erik Thommy,Pass (Live),Dániel Sallói,Pass (Live)
69,William Agada,Sporting KC,0.50,0.38,Goal,10,Right Foot,,Dániel Sallói,Shot,,
79,Stephen Afrifa,Sporting KC,0.01,,Off Target,18,Right Foot,,Erik Thommy,Pass (Live),Nemanja Radoja,Pass (Live)
82,Khiry Shelton,Sporting KC,0.10,,Off Target,9,Head,,Erik Thommy,Pass (Dead),Dániel Sallói,Tackle
82,Nemanja Radoja,Sporting KC,0.12,,Blocked,4,Head,,Khiry Shelton,Shot,,
82,Stephen Afrifa,Sporting KC,0.03,,Off Target,9,Head,,Erik Thommy,Pass (Dead),Nemanja Radoja,Pass (Live)
86,Stephen Afrifa,Sporting KC,0.02,,Blocked,11,Head,,Erik Thommy,Pass (Dead),William Agada,Fouled
87,Erik Thommy,Sporting KC,0.05,,Blocked,17,Right Foot,,Dániel Sallói,Pass (Live),Rémi Walter,Pass (Live)
90+3,Erik Thommy,Sporting KC,0.07,,Off Target,22,Right Foot,Free kick,Dániel Sallói,Fouled,Erik Thommy,Pass (Live)
