,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
William Agada,23,ng NGA,FW,24-304,90,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,50.0
Dániel Sallói,10,hu HUN,LW,27-364,90,0,0,0,2,2,0,4,0,2,0,0,0,2,0,0,
Alenis Vargas,20,hn HON,RW,20-226,45,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,
Stephen Afrifa,30,ca CAN,RW,23-149,45,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,50.0
Alan Pulido,9,mx MEX,AM,33-131,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Erik Thommy,26,de GER,AM,29-332,45,0,0,0,0,1,0,8,0,2,0,0,0,2,0,0,
Nemanja Radoja,6,rs SRB,DM,31-162,90,0,0,0,1,1,0,1,1,1,0,0,0,3,1,0,100.0
Rémi Walter,54,fr FRA,DM,29-082,90,0,0,0,0,1,0,1,3,0,0,0,0,9,2,0,100.0
Zorhan Bassong,22,ca CAN,LB,25-071,90,0,0,0,2,1,0,3,3,1,0,0,0,3,4,1,80.0
Robert Voloder,4,ba BIH,CB,23-069,90,1,0,0,1,0,0,0,0,1,0,0,1,2,2,3,40.0
Robert Castellanos,19,us USA,CB,26-067,90,0,0,0,0,0,0,1,2,1,0,0,0,2,2,0,100.0
Kayden Pierre,24,us USA,RB,21-152,45,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,
Khiry Shelton,11,us USA,RB,31-021,45,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,100.0
Tim Melia,29,us USA,GK,38-063,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
14 Players,,,,,990,1,0,0,8,10,0,19,9,14,0,0,1,31,14,6,70.0
