,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-165,87,0,0,0,1,0,1,2,0,0,0,0,0,0,3,2,60.0
Levonte Johnson,28,ca CAN,FW,25-124,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ali Ahmed,22,ca CAN,AM,23-281,66,0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,0.0
Fafà Picault,11,ht HAI,AM,33-145,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.0
Ryan Gauld,25,sct SCO,AM,28-214,87,0,0,0,1,1,1,3,0,1,0,0,0,4,0,2,0.0
Giuseppe Bovalina,27,au AUS,AM,19-249,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Andrés Cubas,20,py PAR,CM,28-056,90,0,0,0,2,0,0,0,2,1,0,0,0,7,0,1,0.0
Pedro Vite,45,ec ECU,CM,22-130,90,0,0,0,1,1,0,1,1,1,0,0,0,9,0,0,
Alessandro Schöpf,8,at AUT,WB,30-161,71,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,
Luís Martins,14,pt POR,WB,32-037,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
Ryan Raposo,7,ca CAN,WB,25-134,67,0,0,0,0,3,0,5,0,1,0,0,0,1,0,1,0.0
Sebastian Berhalter,16,us USA,WB,23-061,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0
Bjørn Inge Utvik,15,no NOR,CB,28-140,90,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100.0
Ranko Veselinović,4,rs SRB,CB,25-115,90,0,0,0,1,1,0,0,1,1,0,0,0,4,2,0,100.0
Mathías Laborda,2,uy URU,CB,24-306,90,0,0,0,2,1,0,1,2,1,0,0,0,2,0,2,0.0
Yohei Takaoka,1,jp JPN,GK,28-123,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
16 Players,,,,,990,0,0,0,10,7,2,17,9,8,0,0,0,38,6,14,30.0
