,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nökkvi Þórisson,29,is ISL,FW,AM,24-321,90,0,0,0,3,1,0,0,0,0,0,0,0,0,6,4,60.0
Indiana Vassilev,19,us USA,LW,23-134,90,0,0,0,0,2,0,6,0,3,0,0,0,6,1,1,50.0
John Klein,41,us USA,RW,24-225,90,0,0,0,0,1,0,1,1,2,0,0,0,3,1,2,33.3
Eduard Löwen,10,de GER,AM,DM,27-153,90,0,0,0,0,4,0,5,0,0,0,0,0,0,1,2,33.3
Njabulo Blom,6,za RSA,DM,24-201,62,0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,100.0
Hosei Kijima,85,jp JPN,AM,DM,21-364,28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Chris Durkin,8,us USA,DM,CB,24-142,90,0,0,0,3,1,0,0,1,2,0,0,0,3,3,2,60.0
Akil Watts,20,us USA,LB,24-146,90,0,0,0,0,0,0,2,1,0,0,0,0,8,1,1,50.0
Anthony Markanich,13,ph PHI,CB,24-186,78,1,0,0,1,1,0,0,2,0,0,0,0,2,1,2,33.3
Caden Glover,46,us USA,FW,17-113,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0
Jake Nerwinski,2,us USA,CB,29-256,90,1,0,0,1,0,0,0,2,0,0,0,0,2,3,1,75.0
Tomas Totland,14,no NOR,RB,25-275,90,0,0,0,0,0,0,3,1,3,0,0,0,3,0,0,
Benjamin Lundt,39,de GER,GK,28-279,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13 Players,,,,,990,2,0,0,9,10,1,17,9,11,0,0,0,33,18,17,51.4
