,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-147,90,0,0,0,1,2,1,0,0,0,0,0,0,2,3,3,50.0
Levonte Johnson,28,ca CAN,LW,25-106,71,0,0,0,1,1,0,0,0,1,0,0,0,6,1,1,50.0
Giuseppe Bovalina,27,au AUS,LW,19-231,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ryan Gauld,25,sct SCO,RW,28-196,83,0,0,0,2,1,0,4,0,0,0,0,0,5,1,1,50.0
Ralph Priso-Mbongue,13,ca CAN,RW,21-332,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Luís Martins,14,pt POR,LM,32-019,90,0,0,0,0,0,0,2,1,1,0,0,0,5,1,2,33.3
Pedro Vite,45,ec ECU,CM,22-112,90,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,
Sebastian Berhalter,16,us USA,CM,23-043,90,0,0,0,3,1,0,4,0,3,0,0,0,5,1,4,20.0
Ryan Raposo,7,ca CAN,RM,25-116,62,0,0,0,1,2,0,5,2,0,0,0,0,1,1,1,50.0
Fafà Picault,11,ht HAI,RM,33-127,28,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0.0
Bjørn Inge Utvik,15,no NOR,CB,28-122,90,0,0,0,0,0,0,0,2,0,0,0,0,4,2,2,50.0
Mathías Laborda,2,uy URU,CB,24-288,90,0,0,0,1,1,0,1,4,0,0,0,0,2,3,2,60.0
Javain Brown,23,jm JAM,CB,25-112,83,1,0,0,1,0,0,1,1,2,0,1,0,4,4,0,100.0
Ranko Veselinović,4,rs SRB,CB,25-097,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yohei Takaoka,1,jp JPN,GK,28-105,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
15 Players,,,,,990,1,0,0,11,9,1,19,11,9,0,1,0,40,17,18,48.6
