,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Federico Bernardeschi,10,it ITA,FW,RW,AM,30-050,90,1,0,0,1,2,0,9,0,0,0,0,0,5,1,1,50.0
Jonathan Osorio,21,ca CAN,LW,DM,CM,31-299,90,0,0,0,0,1,0,1,5,0,0,0,0,9,0,0,
Deandre Kerr,29,ca CAN,RW,FW,LW,21-139,78,0,0,0,0,4,0,0,0,1,0,0,0,1,1,5,16.7
Cassius Mailula,12,za RSA,AM,22-299,12,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,100.0
Tyrese Spicer,16,tt TRI,LM,LB,23-124,90,1,0,0,3,0,0,7,1,2,0,0,0,3,2,2,50.0
Deybi Flores,20,hn HON,CM,27-295,70,1,0,0,1,1,0,0,1,1,0,0,0,10,0,2,0.0
Prince Osei Owusu,99,de GER,FW,27-090,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0
Matthew Longstaff,8,eng ENG,CM,24-016,64,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0.0
Alonso Coello,14,es ESP,DM,CM,24-177,26,1,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0
Jahkeele Marshall-Rutty,7,ca CAN,RM,RB,19-295,90,0,0,0,4,2,0,4,0,0,0,0,0,4,1,1,50.0
Nicksoen Gomis,15,fr FRA,CB,22-022,78,0,0,0,2,0,0,0,1,0,0,0,0,4,1,3,25.0
Ayo Akinola,9,ca CAN,FW,24-077,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Kevin Long,5,ie IRL,CB,33-232,90,1,0,0,2,0,0,0,1,2,0,0,0,6,7,1,87.5
Shane O'Neill,27,us USA,CB,30-217,45,0,0,0,0,0,0,0,2,1,0,0,0,2,2,0,100.0
Kosi Thompson,47,ca CAN,CB,21-070,45,0,0,0,1,0,0,1,0,1,0,0,0,3,2,2,50.0
Sean Johnson,1,us USA,GK,34-311,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
16 Players,,,,,990,5,0,0,18,11,0,23,13,8,0,0,0,62,18,22,45.0
