,Performance,Aerial Duels
,Performance,Aerial Duels
Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brian White,24,us USA,FW,28-063,90,0,0,0,0,2,1,0,0,0,0,0,0,6,2,3,40.0
Fafà Picault,11,ht HAI,LW,33-043,90,0,0,0,0,4,1,1,4,2,0,0,0,4,2,4,33.3
Ryan Gauld,25,sct SCO,RW,28-112,84,0,0,0,0,1,0,8,0,1,0,0,0,6,2,2,50.0
Levonte Johnson,28,ca CAN,RW,25-022,6,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,50.0
Alessandro Schöpf,8,at AUT,LM,CM,30-059,90,1,0,0,1,2,0,2,2,2,0,0,0,9,1,0,100.0
Andrés Cubas,20,py PAR,CM,27-320,84,1,0,0,5,0,0,0,2,2,0,0,0,2,2,0,100.0
Ralph Priso-Mbongue,13,ca CAN,CM,21-248,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Pedro Vite,45,ec ECU,CM,22-028,72,0,0,0,0,1,0,0,0,2,0,0,0,9,1,1,50.0
Sam Adekugbe,3,ca CAN,LM,29-081,18,0,0,0,2,0,0,0,1,1,0,0,0,3,0,0,
Ali Ahmed,22,ca CAN,RM,23-179,61,0,0,0,0,4,0,2,0,1,0,0,0,5,1,1,50.0
Ryan Raposo,7,ca CAN,RM,25-032,29,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,
Bjørn Inge Utvik,15,no NOR,CB,28-038,71,0,0,0,1,0,0,0,0,1,0,0,0,2,1,3,25.0
Tristan Blackmon,6,us USA,CB,27-238,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ranko Veselinović,4,rs SRB,CB,25-013,90,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
Mathías Laborda,2,uy URU,CB,24-204,90,0,0,0,0,2,0,0,1,2,0,0,0,7,6,2,75.0
Yohei Takaoka,1,jp JPN,GK,28-021,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
16 Players,,,,,990,2,0,0,11,17,2,16,10,15,0,0,0,60,22,18,55.0
